timestamp,course,degree_program,gender,race_ethnicity,interest_level,affordable_cost,location_convenience,choice_of_programs,online_offerings,family_friend_referral,college_reputation,to_get_a_job_in_the_computing_field,transfer_to_bachelors_level_program,career_advancement,career_change,ccm_web_site,social_media,family_member_or_friend,high_school_counselor
2023/09/04 5:12:28 PM EST,CMP 239 Internet & Web Page Design,computing_engineering,Man,black_african_american,,High Impact,High Impact,High Impact,,High Impact,High Impact,Yes,Yes,Yes,Yes,Yes,No,Yes,No
2023/09/04 5:15:24 PM EST,CMP 128 Computer Science I,computing_engineering,Woman,asian_pacific_islander,,No Impact,,High Impact,Some Impact,High Impact,,Yes,Yes,Yes,No,Yes,Don't recall,Yes,Don't recall
2023/09/04 9:19:18 PM EST,CMP 239 Internet & Web Page Design,computing_engineering,Woman,hispanic_latino,,High Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,Yes,Yes,No,No,Yes,Yes,Yes,Yes
2023/09/04 10:55:07 PM EST,CMP 239 Internet & Web Page Design,computing_engineering,Non-binary,asian_pacific_islander,,Some Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,Yes,No,Yes,No,Yes,No,Yes,No
2023/09/05 8:53:07 AM EST,CMP 239 Internet & Web Page Design,computing_engineering,Woman,hispanic_latino,,High Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,Yes,Yes,Yes,No,Yes,No,Yes,Yes
2023/09/05 1:14:54 PM EST,CMP 239 Internet & Web Page Design,cis game development option,Man,asian_pacific_islander,,Some Impact,Some Impact,,Some Impact,No Impact,No Impact,Yes,Yes,No,No,Yes,Yes,Yes,Yes
2023/09/05 3:21:23 PM EST,,computing_engineering,Man,asian_pacific_islander,,Some Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Yes,Yes,No,No,No,No,Yes,Yes
2023/09/06 7:39:41 AM EST,CMP 128 Computer Science I,computing_engineering,Man,hispanic_latino,,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
2023/09/06 7:40:31 AM EST,CMP 128 Computer Science I,computing_engineering,Man,hispanic_latino,,No Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,Yes,Yes,Yes,Yes,No,No,No,Yes
2023/09/06 7:48:29 AM EST,CMP 128 Computer Science I,computing_engineering,Man,asian_pacific_islander,,High Impact,Some Impact,High Impact,No Impact,No Impact,Some Impact,Yes,Yes,Yes,Yes,No,No,Yes,No
2023/09/06 7:48:32 AM EST,CMP 128 Computer Science I,economics,Woman,black_african_american,3.0,High Impact,High Impact,High Impact,No Impact,No Impact,High Impact,,,,,No,No,Yes,No
